"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"nome_matriz";"nome_curso";"codigo";"ch_total_minima";"ch_optativas_minima";"cr_total_minimo";"cr_maximo_semestre";"cr_ideal_semestre";"ano_entrada_vigor";"periodo_entrada_vigor";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"meses_conclusao_maximo";"meses_conclusao_ideal";"meses_conclusao_minimo";"observacao";"ch_minima_semestre";"ch_maxima_semestre";"ch_complementar_minima";
"10";"10";"15";"PSICOLOGIA - SANTA CRUZ - MT - BACHARELADO";"PSICOLOGIA";"01B";"4050";"405";"147";"31";"25";"2015";"1";"2535";"147";"900";"";"";"";"";"330";"465";"210";
"5";"5";"6";"GESTÃO PÚBLICA - CAICÓ - I - TECNOLÓGICO";"GESTÃO PÚBLICA";"01";"1710";"0";"114";"26";"24";"2013";"1";"1710";"114";"0";"";"";"";"";"240";"0";"0";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM LETRAS - PROFLETRAS/CN";"PLETCN1";"420";"135";"9";"20";"12";"2013";"1";"285";"0";"0";"30";"24";"12";"";"0";"";"";
"12";"24";"30";"";"MESTRADO EM MATEMÁTICA APLICADA E ESTATÍSTICA";"PE";"360";"120";"24";"16";"12";"2006";"2";"240";"16";"0";"30";"24";"12";"";"1";"";"";
"24";"48";"54";"";"DOUTORADO EM CIÊNCIA DA COMPUTAÇÃO";"Dr004";"540";"540";"36";"";"";"2016";"2";"0";"0";"0";"54";"48";"24";"";"0";"";"";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM MATEMÁTICA EM REDE NACIONAL";"MRN1";"1200";"240";"16";"30";"15";"2011";"1";"960";"0";"0";"30";"24";"12";"";"1";"";"";
"12";"24";"30";"";"ZZZ MEST";"08";"195";"0";"13";"30";"15";"2009";"1";"195";"13";"0";"30";"24";"12";"";"15";"";"";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM SAÚDE DA FAMÍLIA";"tm3";"565";"0";"0";"";"";"2017";"2";"565";"0";"0";"30";"24";"12";"";"0";"";"";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA";"ECNM2";"465";"240";"28";"";"";"2016";"2";"180";"12";"45";"30";"24";"12";"";"1";"";"";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM EDUCAÇÃO, TRABALHO E INOVAÇÃO EM MEDICINA";"ETIM001";"315";"90";"21";"";"";"2016";"2";"225";"15";"0";"30";"24";"12";"";"0";"";"";
"8";"8";"12";"ARTES VISUAIS - NATAL - MT - LICENCIATURA";"ARTES VISUAIS";"01F";"2970";"720";"103";"28";"24";"2011";"1";"1545";"103";"705";"";"";"";"";"105";"0";"0";
"12";"24";"30";"";"MESTRADO EM BIOECOLOGIA AQUÁTICA";"02";"270";"0";"18";"23";"18";"2005";"1";"270";"18";"0";"30";"24";"12";"";"1";"";"";
